Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Month,Day,Difference_Afirm
2017-04-11,21.809999465942383,22.979999542236328,21.770000457763672,22.399999618530273,22.399999618530273,13060500,2.729999542236328,2017,04,11,0
2017-04-12,22.450000762939453,22.989999771118164,22.299999237060547,22.959999084472656,22.959999084472656,1745900,-0.5599994659423828,2017,04,12,1
2017-04-13,22.969999313354492,23.010000228881836,22.549999237060547,22.989999771118164,22.989999771118164,549600,-0.030000686645507812,2017,04,13,1
2017-04-17,23.0,23.0,22.6200008392334,22.850000381469727,22.850000381469727,249300,0.1399993896484375,2017,04,17,0
2017-04-18,22.81999969482422,24.790000915527344,22.600000381469727,23.90999984741211,23.90999984741211,1125100,-1.0599994659423828,2017,04,18,1
2017-04-19,24.0,24.34000015258789,23.899999618530273,23.920000076293945,23.920000076293945,442100,-0.010000228881835938,2017,04,19,1
2017-04-20,24.110000610351562,24.389999389648438,23.510000228881836,23.860000610351562,23.860000610351562,740100,0.05999946594238281,2017,04,20,0
2017-04-24,24.100000381469727,24.420000076293945,23.700000762939453,24.200000762939453,24.200000762939453,383100,-0.3400001525878906,2017,04,24,1
2017-04-25,24.200000762939453,24.25,23.93000030517578,24.100000381469727,24.100000381469727,285100,0.10000038146972656,2017,04,25,0
2017-04-26,24.020000457763672,24.389999389648438,23.709999084472656,23.940000534057617,23.940000534057617,443900,0.15999984741210938,2017,04,26,0
2017-04-27,23.610000610351562,23.850000381469727,23.239999771118164,23.729999542236328,23.729999542236328,221500,0.21000099182128906,2017,04,27,0
2017-04-28,23.729999542236328,24.09000015258789,23.709999084472656,23.959999084472656,23.959999084472656,131500,-0.22999954223632812,2017,04,28,1
2017-05-02,24.0,25.700000762939453,23.969999313354492,25.399999618530273,25.399999618530273,871400,-1.4400005340576172,2017,05,02,1
2017-05-03,25.43000030517578,25.90999984741211,25.010000228881836,25.5,25.5,206000,-0.10000038146972656,2017,05,03,1
2017-05-04,25.43000030517578,26.489999771118164,25.399999618530273,26.260000228881836,26.260000228881836,232600,-0.7600002288818359,2017,05,04,1
2017-05-05,26.989999771118164,26.989999771118164,26.200000762939453,26.600000381469727,26.600000381469727,133400,-0.3400001525878906,2017,05,05,1
2017-05-08,26.610000610351562,27.440000534057617,25.639999389648438,26.0,26.0,312600,0.6000003814697266,2017,05,08,0
2017-05-09,26.469999313354492,26.5,25.610000610351562,25.799999237060547,25.799999237060547,200700,0.20000076293945312,2017,05,09,0
2017-05-10,25.81999969482422,26.389999389648438,25.639999389648438,25.690000534057617,25.690000534057617,444900,0.10999870300292969,2017,05,10,0
2017-05-11,25.600000381469727,25.68000030517578,24.8799991607666,25.25,25.25,233200,0.4400005340576172,2017,05,11,0
2017-05-12,25.790000915527344,25.790000915527344,24.899999618530273,25.25,25.25,155600,0.0,2017,05,12,1
2017-05-15,26.690000534057617,26.690000534057617,25.360000610351562,25.68000030517578,25.68000030517578,1205200,-0.43000030517578125,2017,05,15,1
2017-05-16,25.889999389648438,26.299999237060547,25.700000762939453,26.299999237060547,26.299999237060547,768700,-0.6199989318847656,2017,05,16,1
2017-05-17,26.34000015258789,26.899999618530273,26.0,26.5,26.5,1085600,-0.20000076293945312,2017,05,17,1
2017-05-18,23.0,24.139999389648438,21.760000228881836,22.719999313354492,22.719999313354492,829700,3.780000686645508,2017,05,18,0
2017-05-19,23.610000610351562,23.950000762939453,23.0,23.0,23.0,547400,-0.2800006866455078,2017,05,19,1
2017-05-22,23.1200008392334,23.1200008392334,21.719999313354492,22.200000762939453,22.200000762939453,1301800,0.7999992370605469,2017,05,22,0
2017-05-23,22.229999542236328,22.6200008392334,21.799999237060547,22.040000915527344,22.040000915527344,614600,0.15999984741210938,2017,05,23,0
2017-05-24,22.100000381469727,24.719999313354492,22.100000381469727,23.950000762939453,23.950000762939453,892100,-1.9099998474121094,2017,05,24,1
2017-05-25,24.1200008392334,25.639999389648438,24.1200008392334,25.110000610351562,25.110000610351562,1087100,-1.1599998474121094,2017,05,25,1
2017-05-26,25.329999923706055,25.530000686645508,25.020000457763672,25.209999084472656,25.209999084472656,461200,-0.09999847412109375,2017,05,26,1
2017-05-29,25.209999084472656,25.209999084472656,25.209999084472656,25.209999084472656,25.209999084472656,0,0.0,2017,05,29,1
2017-05-30,24.809999465942383,25.329999923706055,24.809999465942383,24.850000381469727,24.850000381469727,1842000,0.3599987030029297,2017,05,30,0
2017-05-31,25.0,25.1299991607666,23.59000015258789,23.59000015258789,23.59000015258789,254600,1.260000228881836,2017,05,31,0
2017-06-01,24.200000762939453,24.280000686645508,23.0,23.0,23.0,191500,0.5900001525878906,2017,06,01,0
2017-06-02,23.399999618530273,23.670000076293945,22.729999542236328,23.15999984741211,23.15999984741211,135200,-0.15999984741210938,2017,06,02,1
2017-06-05,22.65999984741211,23.68000030517578,22.65999984741211,23.600000381469727,23.600000381469727,406000,-0.4400005340576172,2017,06,05,1
2017-06-06,24.299999237060547,24.299999237060547,23.010000228881836,23.469999313354492,23.469999313354492,342600,0.13000106811523438,2017,06,06,0
2017-06-07,24.0,24.0,23.360000610351562,23.56999969482422,23.56999969482422,415100,-0.10000038146972656,2017,06,07,1
2017-06-08,23.56999969482422,23.56999969482422,22.799999237060547,22.899999618530273,22.899999618530273,208700,0.6700000762939453,2017,06,08,0
2017-06-09,23.190000534057617,23.25,22.850000381469727,23.149999618530273,23.149999618530273,148500,-0.25,2017,06,09,1
2017-06-12,23.239999771118164,23.309999465942383,22.700000762939453,22.700000762939453,22.700000762939453,259600,0.4499988555908203,2017,06,12,0
2017-06-13,22.799999237060547,23.719999313354492,22.299999237060547,23.350000381469727,23.350000381469727,266900,-0.6499996185302734,2017,06,13,1
2017-06-14,23.350000381469727,23.559999465942383,22.709999084472656,22.899999618530273,22.899999618530273,191600,0.4500007629394531,2017,06,14,0
2017-06-15,22.899999618530273,22.899999618530273,22.899999618530273,22.899999618530273,22.899999618530273,0,0.0,2017,06,15,1
2017-06-16,22.649999618530273,23.0,22.530000686645508,22.56999969482422,22.56999969482422,74400,0.3299999237060547,2017,06,16,0
2017-06-19,22.420000076293945,22.700000762939453,22.3700008392334,22.600000381469727,22.600000381469727,244800,-0.030000686645507812,2017,06,19,1
2017-06-20,22.600000381469727,23.399999618530273,22.479999542236328,22.950000762939453,22.950000762939453,123900,-0.35000038146972656,2017,06,20,1
2017-06-21,22.979999542236328,23.290000915527344,22.780000686645508,23.0,23.0,475300,-0.049999237060546875,2017,06,21,1
2017-06-22,23.209999084472656,23.209999084472656,22.75,22.799999237060547,22.799999237060547,61100,0.20000076293945312,2017,06,22,0
2017-06-23,22.860000610351562,23.6299991607666,22.829999923706055,23.309999465942383,23.309999465942383,157700,-0.5100002288818359,2017,06,23,1
2017-06-26,23.559999465942383,23.559999465942383,23.18000030517578,23.350000381469727,23.350000381469727,253000,-0.04000091552734375,2017,06,26,1
2017-06-27,23.270000457763672,23.520000457763672,23.209999084472656,23.25,23.25,333500,0.10000038146972656,2017,06,27,0
2017-06-28,23.260000228881836,23.469999313354492,22.8700008392334,23.079999923706055,23.079999923706055,265600,0.1700000762939453,2017,06,28,0
2017-06-29,23.06999969482422,23.350000381469727,22.799999237060547,23.1299991607666,23.1299991607666,576600,-0.049999237060546875,2017,06,29,1
2017-06-30,22.899999618530273,23.450000762939453,22.899999618530273,23.450000762939453,23.450000762939453,158000,-0.32000160217285156,2017,06,30,1
2017-07-03,23.450000762939453,23.760000228881836,23.3799991607666,23.760000228881836,23.760000228881836,333200,-0.3099994659423828,2017,07,03,1
2017-07-04,23.700000762939453,23.920000076293945,23.639999389648438,23.920000076293945,23.920000076293945,23400,-0.15999984741210938,2017,07,04,1
2017-07-05,23.649999618530273,24.270000457763672,23.6200008392334,24.270000457763672,24.270000457763672,320500,-0.35000038146972656,2017,07,05,1
2017-07-06,24.049999237060547,24.40999984741211,23.799999237060547,24.170000076293945,24.170000076293945,266600,0.10000038146972656,2017,07,06,0
2017-07-07,24.260000228881836,25.3700008392334,24.100000381469727,25.030000686645508,25.030000686645508,546400,-0.8600006103515625,2017,07,07,1
2017-07-10,25.040000915527344,25.65999984741211,25.0,25.299999237060547,25.299999237060547,132700,-0.26999855041503906,2017,07,10,1
2017-07-11,25.459999084472656,25.459999084472656,24.829999923706055,24.959999084472656,24.959999084472656,103100,0.3400001525878906,2017,07,11,0
2017-07-12,25.469999313354492,25.469999313354492,24.809999465942383,24.959999084472656,24.959999084472656,113200,0.0,2017,07,12,1
2017-07-13,25.290000915527344,25.450000762939453,25.09000015258789,25.09000015258789,25.09000015258789,124000,-0.13000106811523438,2017,07,13,1
2017-07-14,25.110000610351562,25.420000076293945,25.0,25.209999084472656,25.209999084472656,147800,-0.11999893188476562,2017,07,14,1
2017-07-17,25.200000762939453,25.989999771118164,25.010000228881836,25.8700008392334,25.8700008392334,394800,-0.6600017547607422,2017,07,17,1
2017-07-18,25.979999542236328,26.3700008392334,25.799999237060547,26.079999923706055,26.079999923706055,370300,-0.20999908447265625,2017,07,18,1
2017-07-19,26.139999389648438,26.75,26.139999389648438,26.5,26.5,178400,-0.4200000762939453,2017,07,19,1
2017-07-20,26.540000915527344,26.540000915527344,25.700000762939453,26.0,26.0,251600,0.5,2017,07,20,0
2017-07-21,25.979999542236328,26.25,25.350000381469727,26.25,26.25,94600,-0.25,2017,07,21,1
2017-07-24,26.270000457763672,26.450000762939453,26.059999465942383,26.329999923706055,26.329999923706055,624500,-0.07999992370605469,2017,07,24,1
2017-07-25,26.329999923706055,26.649999618530273,26.299999237060547,26.530000686645508,26.530000686645508,160700,-0.20000076293945312,2017,07,25,1
2017-07-26,26.530000686645508,26.739999771118164,26.25,26.700000762939453,26.700000762939453,286900,-0.1700000762939453,2017,07,26,1
2017-07-27,26.719999313354492,26.780000686645508,26.170000076293945,26.600000381469727,26.600000381469727,349600,0.10000038146972656,2017,07,27,0
2017-07-28,26.450000762939453,26.75,25.6200008392334,26.610000610351562,26.610000610351562,202300,-0.010000228881835938,2017,07,28,1
2017-07-31,26.600000381469727,27.739999771118164,26.399999618530273,27.299999237060547,27.299999237060547,237000,-0.6899986267089844,2017,07,31,1
2017-08-01,27.299999237060547,27.719999313354492,26.700000762939453,27.200000762939453,27.200000762939453,231300,0.09999847412109375,2017,08,01,0
2017-08-02,27.0,27.5,26.770000457763672,27.420000076293945,27.420000076293945,658300,-0.2199993133544922,2017,08,02,1
2017-08-03,27.229999542236328,28.040000915527344,27.15999984741211,28.040000915527344,28.040000915527344,509500,-0.6200008392333984,2017,08,03,1
2017-08-04,28.079999923706055,28.360000610351562,27.5,27.799999237060547,27.799999237060547,1453100,0.24000167846679688,2017,08,04,0
2017-08-07,27.899999618530273,28.079999923706055,27.530000686645508,27.6200008392334,27.6200008392334,101100,0.17999839782714844,2017,08,07,0
2017-08-08,27.719999313354492,28.229999542236328,27.56999969482422,27.700000762939453,27.700000762939453,199200,-0.07999992370605469,2017,08,08,1
2017-08-09,27.610000610351562,28.149999618530273,27.0,28.0,28.0,307100,-0.2999992370605469,2017,08,09,1
2017-08-10,27.729999542236328,27.75,26.760000228881836,27.489999771118164,27.489999771118164,224400,0.5100002288818359,2017,08,10,0
2017-08-11,27.489999771118164,27.489999771118164,26.149999618530273,27.0,27.0,475200,0.48999977111816406,2017,08,11,0
2017-08-14,27.200000762939453,27.959999084472656,27.040000915527344,27.5,27.5,272300,-0.5,2017,08,14,1
2017-08-15,27.700000762939453,27.899999618530273,27.110000610351562,27.209999084472656,27.209999084472656,148900,0.29000091552734375,2017,08,15,0
2017-08-16,27.170000076293945,27.489999771118164,26.889999389648438,27.399999618530273,27.399999618530273,152700,-0.1900005340576172,2017,08,16,1
2017-08-17,27.209999084472656,27.209999084472656,26.3799991607666,26.600000381469727,26.600000381469727,176300,0.7999992370605469,2017,08,17,0
2017-08-18,26.75,27.350000381469727,25.93000030517578,26.700000762939453,26.700000762939453,193800,-0.10000038146972656,2017,08,18,1
2017-08-21,26.700000762939453,26.75,26.170000076293945,26.200000762939453,26.200000762939453,128700,0.5,2017,08,21,0
2017-08-22,26.399999618530273,26.780000686645508,26.0,26.700000762939453,26.700000762939453,188700,-0.5,2017,08,22,1
2017-08-23,26.510000228881836,26.790000915527344,25.8799991607666,26.0,26.0,276200,0.7000007629394531,2017,08,23,0
2017-08-24,26.010000228881836,26.350000381469727,26.010000228881836,26.100000381469727,26.100000381469727,197000,-0.10000038146972656,2017,08,24,1
2017-08-25,26.350000381469727,26.399999618530273,26.110000610351562,26.399999618530273,26.399999618530273,210600,-0.2999992370605469,2017,08,25,1
2017-08-28,26.399999618530273,26.5,26.0,26.100000381469727,26.100000381469727,216400,0.2999992370605469,2017,08,28,0
2017-08-29,26.149999618530273,26.5,26.049999237060547,26.299999237060547,26.299999237060547,91900,-0.1999988555908203,2017,08,29,1
2017-08-30,26.219999313354492,26.3700008392334,25.68000030517578,26.149999618530273,26.149999618530273,178600,0.14999961853027344,2017,08,30,0
2017-08-31,26.149999618530273,26.600000381469727,25.5,26.549999237060547,26.549999237060547,212200,-0.39999961853027344,2017,08,31,1
2017-09-01,26.549999237060547,26.889999389648438,26.329999923706055,26.889999389648438,26.889999389648438,371400,-0.3400001525878906,2017,09,01,1
2017-09-04,27.0,27.360000610351562,26.899999618530273,27.18000030517578,27.18000030517578,227100,-0.29000091552734375,2017,09,04,1
2017-09-05,27.25,27.59000015258789,26.8799991607666,27.309999465942383,27.309999465942383,395200,-0.12999916076660156,2017,09,05,1
2017-09-06,27.270000457763672,27.860000610351562,27.149999618530273,27.84000015258789,27.84000015258789,570200,-0.5300006866455078,2017,09,06,1
2017-09-07,27.84000015258789,27.84000015258789,27.84000015258789,27.84000015258789,27.84000015258789,0,0.0,2017,09,07,1
2017-09-08,27.84000015258789,27.84000015258789,27.299999237060547,27.639999389648438,27.639999389648438,364300,0.20000076293945312,2017,09,08,0
2017-09-11,27.690000534057617,27.989999771118164,27.440000534057617,27.899999618530273,27.899999618530273,593500,-0.26000022888183594,2017,09,11,1
2017-09-12,28.0,28.0,26.200000762939453,26.440000534057617,26.440000534057617,3393500,1.4599990844726562,2017,09,12,0
2017-09-13,26.700000762939453,27.90999984741211,26.219999313354492,27.90999984741211,27.90999984741211,1077500,-1.4699993133544922,2017,09,13,1
2017-09-14,27.799999237060547,29.700000762939453,27.5,28.809999465942383,28.809999465942383,1248100,-0.8999996185302734,2017,09,14,1
2017-09-15,28.299999237060547,30.25,28.209999084472656,30.0,30.0,6328900,-1.1900005340576172,2017,09,15,1
2017-09-18,30.219999313354492,30.399999618530273,29.690000534057617,29.809999465942383,29.809999465942383,1198600,0.1900005340576172,2017,09,18,0
2017-09-19,29.850000381469727,30.040000915527344,28.5,30.040000915527344,30.040000915527344,1967300,-0.23000144958496094,2017,09,19,1
2017-09-20,30.049999237060547,30.719999313354492,29.68000030517578,30.309999465942383,30.309999465942383,1497400,-0.26999855041503906,2017,09,20,1
2017-09-21,30.239999771118164,30.889999389648438,29.75,30.389999389648438,30.389999389648438,1047600,-0.07999992370605469,2017,09,21,1
2017-09-22,30.1299991607666,30.139999389648438,29.40999984741211,29.850000381469727,29.850000381469727,263000,0.5399990081787109,2017,09,22,0
2017-09-25,29.93000030517578,30.149999618530273,27.899999618530273,29.399999618530273,29.399999618530273,461800,0.4500007629394531,2017,09,25,0
2017-09-26,29.389999389648438,29.670000076293945,28.700000762939453,28.8799991607666,28.8799991607666,222100,0.5200004577636719,2017,09,26,0
2017-09-27,28.90999984741211,29.15999984741211,27.559999465942383,28.770000457763672,28.770000457763672,1454900,0.10999870300292969,2017,09,27,0
2017-09-28,28.549999237060547,28.549999237060547,27.790000915527344,28.25,28.25,353400,0.5200004577636719,2017,09,28,0
2017-09-29,28.31999969482422,29.200000762939453,28.299999237060547,29.200000762939453,29.200000762939453,779100,-0.9500007629394531,2017,09,29,1
2017-10-02,29.200000762939453,29.200000762939453,28.719999313354492,28.719999313354492,28.719999313354492,538100,0.48000144958496094,2017,10,02,0
2017-10-03,28.600000381469727,30.399999618530273,28.600000381469727,29.899999618530273,29.899999618530273,386900,-1.1800003051757812,2017,10,03,1
2017-10-04,29.799999237060547,30.15999984741211,29.399999618530273,29.899999618530273,29.899999618530273,475800,0.0,2017,10,04,1
2017-10-05,30.100000381469727,30.600000381469727,30.059999465942383,30.1200008392334,30.1200008392334,322600,-0.220001220703125,2017,10,05,1
2017-10-06,29.690000534057617,30.440000534057617,29.5,30.059999465942383,30.059999465942383,271800,0.060001373291015625,2017,10,06,0
2017-10-09,30.149999618530273,30.350000381469727,29.719999313354492,30.0,30.0,341900,0.05999946594238281,2017,10,09,0
