,Open,Close,Up Trend,Down Trend,Difference
0,7.139,7.082,1.0,0.0,0.057
1,7.113,7.094,1.0,0.0,0.019
2,7.113,7.221,1.0,0.0,-0.108
3,7.259,7.253,1.0,0.0,0.006
4,7.274,7.235,1.0,0.0,0.039
5,7.227,7.262,1.0,0.0,-0.035
6,7.28,7.35,1.0,0.0,-0.07
7,7.349,7.344,1.0,0.0,0.005
8,7.391,7.448,1.0,0.0,-0.057
9,7.465,7.481,1.0,0.0,-0.016
10,7.478,7.477,1.0,0.0,0.001
11,7.4,7.398,1.0,0.0,0.002
12,7.42,7.379,1.0,0.0,0.041
13,7.375,7.4,1.0,0.0,-0.025
14,7.423,7.495,1.0,0.0,-0.072
15,7.53,7.49,1.0,0.0,0.04
16,7.478,7.48,1.0,0.0,-0.002
17,7.483,7.601,1.0,0.0,-0.118
18,7.59,7.634,1.0,0.0,-0.044
19,7.659,7.643,1.0,0.0,0.016
20,7.59,7.563,0.0,0.0,0.027
21,7.569,7.568,0.0,0.0,0.001
22,7.68,7.458,0.0,1.0,0.222
23,7.45,7.354,0.0,1.0,0.096
24,7.286,7.255,0.0,1.0,0.031
25,7.1,7.085,0.0,1.0,0.015
26,7.195,7.227,0.0,1.0,-0.032
27,7.193,7.131,0.0,1.0,0.062
28,7.067,7.009,0.0,1.0,0.058
29,7.084,7.097,0.0,1.0,-0.013
30,7.102,6.998,0.0,1.0,0.104
31,7.061,6.968,0.0,1.0,0.093
32,7.06,6.993,0.0,1.0,0.067
33,7.057,7.059,0.0,1.0,-0.002
34,7.085,7.022,0.0,1.0,0.063
35,7.011,7.026,0.0,1.0,-0.015
36,7.012,6.97,0.0,1.0,0.042
37,6.93,6.97,0.0,1.0,-0.04
38,6.967,6.91,0.0,1.0,0.057
39,6.945,6.959,0.0,1.0,-0.014
40,6.981,6.95,0.0,1.0,0.031
41,6.91,6.89,0.0,1.0,0.02
42,6.851,6.79,0.0,1.0,0.061
43,6.75,6.642,0.0,1.0,0.108
44,6.607,6.61,0.0,1.0,-0.003
45,6.668,6.65,0.0,1.0,0.018
46,6.632,6.63,0.0,1.0,0.002
47,6.657,6.652,0.0,1.0,0.005
48,6.668,6.646,0.0,1.0,0.022
49,6.691,6.674,0.0,1.0,0.017
50,6.674,6.67,0.0,1.0,0.004
51,6.67,6.57,0.0,1.0,0.1
52,6.585,6.528,0.0,1.0,0.057
53,6.557,6.651,0.0,1.0,-0.094
54,6.629,6.553,0.0,1.0,0.076
55,6.573,6.597,0.0,1.0,-0.024
56,6.635,6.531,0.0,1.0,0.104
57,6.501,6.445,0.0,1.0,0.056
58,6.333,6.274,0.0,1.0,0.059
59,6.3,6.261,1.0,1.0,0.039
60,6.368,6.289,1.0,0.0,0.079
61,6.222,6.342,1.0,0.0,-0.12
62,6.36,6.429,1.0,0.0,-0.069
63,6.38,6.366,1.0,0.0,0.014
64,6.364,6.35,1.0,0.0,0.014
65,6.427,6.51,1.0,0.0,-0.083
66,6.35,6.346,0.0,0.0,0.004
67,6.4,6.431,0.0,0.0,-0.031
68,6.48,6.421,0.0,0.0,0.059
69,6.405,6.348,0.0,0.0,0.057
70,6.347,6.329,0.0,0.0,0.018
71,6.353,6.41,0.0,0.0,-0.057
72,6.408,6.415,0.0,0.0,-0.007
73,6.432,6.402,0.0,0.0,0.03
74,6.411,6.492,1.0,0.0,-0.081
75,6.476,6.518,1.0,0.0,-0.042
76,6.521,6.578,1.0,0.0,-0.057
77,6.592,6.582,1.0,0.0,0.01
78,6.593,6.582,0.0,0.0,0.011
79,6.538,6.553,0.0,0.0,-0.015
80,6.544,6.542,0.0,0.0,0.002
81,6.595,6.687,0.0,0.0,-0.092
82,6.684,6.73,0.0,0.0,-0.046
83,6.718,6.765,0.0,0.0,-0.047
84,6.76,6.666,0.0,0.0,0.094
85,6.68,6.742,0.0,0.0,-0.062
86,6.77,6.788,0.0,0.0,-0.018
87,6.791,6.756,0.0,0.0,0.035
88,6.768,6.806,0.0,0.0,-0.038
89,6.82,6.852,0.0,0.0,-0.032
90,6.852,6.854,0.0,0.0,-0.002
91,6.845,6.833,0.0,1.0,0.012
92,6.828,6.729,0.0,1.0,0.099
93,6.708,6.62,0.0,1.0,0.088
94,6.64,6.707,0.0,1.0,-0.067
95,6.7,6.58,0.0,1.0,0.12
96,6.61,6.508,0.0,1.0,0.102
97,6.526,6.615,0.0,1.0,-0.089
98,6.572,6.467,0.0,1.0,0.105
99,6.484,6.386,0.0,1.0,0.098
100,6.408,6.208,0.0,1.0,0.2
101,6.307,6.134,0.0,1.0,0.173
102,6.07,5.878,0.0,1.0,0.192
103,5.95,5.916,0.0,1.0,0.034
104,5.981,5.839,0.0,1.0,0.142
105,5.971,6.018,0.0,0.0,-0.047
106,6.087,6.057,0.0,0.0,0.03
107,6.037,5.915,0.0,0.0,0.122
108,5.924,5.993,0.0,0.0,-0.069
109,6.05,6.114,0.0,0.0,-0.064
110,6.039,6.078,0.0,0.0,-0.039
111,6.177,6.206,0.0,0.0,-0.029
112,6.25,6.19,0.0,0.0,0.06
113,6.176,6.1,0.0,0.0,0.076
114,6.08,6.094,0.0,0.0,-0.014
115,6.103,5.977,0.0,0.0,0.126
116,5.95,5.919,0.0,0.0,0.031
117,5.85,5.961,0.0,0.0,-0.111
118,6.02,6.01,0.0,0.0,0.01
119,6.046,5.972,0.0,0.0,0.074
120,6.014,6.06,0.0,0.0,-0.046
121,5.998,5.955,0.0,0.0,0.043
122,6.002,6.014,0.0,0.0,-0.012
123,6.008,5.968,0.0,0.0,0.04
124,5.92,5.966,0.0,0.0,-0.046
125,6.05,6.074,0.0,0.0,-0.024
126,5.98,5.946,0.0,0.0,0.034
127,5.976,6.02,0.0,0.0,-0.044
128,6.0,6.136,0.0,0.0,-0.136
129,6.16,6.309,0.0,0.0,-0.149
130,6.36,6.369,0.0,1.0,-0.009
131,6.4,6.368,0.0,1.0,0.032
132,6.35,6.212,0.0,1.0,0.138
133,6.14,6.045,0.0,1.0,0.095
134,6.079,6.057,0.0,1.0,0.022
135,6.083,6.033,0.0,1.0,0.05
136,6.014,5.993,0.0,1.0,0.021
137,6.0,5.935,0.0,1.0,0.065
138,5.921,6.004,0.0,0.0,-0.083
139,6.0,5.976,0.0,0.0,0.024
140,5.95,5.971,0.0,0.0,-0.021
141,5.939,6.026,0.0,0.0,-0.087
142,6.08,6.156,0.0,0.0,-0.076
143,6.156,6.048,0.0,0.0,0.108
144,6.074,6.121,0.0,0.0,-0.047
145,6.19,6.201,0.0,0.0,-0.011
146,6.166,6.228,0.0,0.0,-0.062
147,6.21,6.286,0.0,1.0,-0.076
148,6.294,6.224,0.0,1.0,0.07
149,6.189,6.05,0.0,1.0,0.139
150,6.054,6.063,0.0,1.0,-0.009
151,6.073,6.041,0.0,1.0,0.032
152,6.06,6.04,0.0,1.0,0.02
153,6.025,6.002,0.0,1.0,0.023
154,6.0,5.947,0.0,1.0,0.053
155,5.82,5.64,0.0,1.0,0.18
156,5.478,5.458,0.0,1.0,0.02
157,5.484,5.453,0.0,1.0,0.031
158,5.479,5.399,0.0,1.0,0.08
159,5.466,5.487,0.0,1.0,-0.021
160,5.514,5.44,0.0,1.0,0.074
161,5.469,5.416,0.0,1.0,0.053
162,5.4,5.496,0.0,1.0,-0.096
163,5.489,5.551,0.0,1.0,-0.062
164,5.57,5.522,0.0,1.0,0.048
165,5.502,5.533,0.0,1.0,-0.031
166,5.551,5.571,0.0,1.0,-0.02
167,5.59,5.49,0.0,1.0,0.1
168,5.51,5.533,0.0,1.0,-0.023
169,5.501,5.381,0.0,1.0,0.12
170,5.394,5.37,0.0,1.0,0.024
171,5.37,5.354,0.0,1.0,0.016
172,5.354,5.368,0.0,1.0,-0.014
173,5.347,5.363,0.0,1.0,-0.016
174,5.32,5.228,0.0,1.0,0.092
175,5.23,5.18,0.0,1.0,0.05
176,5.166,5.199,1.0,0.0,-0.033
177,5.229,5.209,1.0,0.0,0.02
178,5.21,5.215,1.0,0.0,-0.005
179,5.213,5.438,1.0,0.0,-0.225
180,5.478,5.449,1.0,0.0,0.029
181,5.43,5.503,1.0,0.0,-0.073
182,5.502,5.486,1.0,0.0,0.016
183,5.505,5.596,1.0,0.0,-0.091
184,5.617,5.678,1.0,0.0,-0.061
185,5.742,5.636,0.0,0.0,0.106
186,5.6,5.593,0.0,0.0,0.007
187,5.63,5.598,0.0,0.0,0.032
188,5.601,5.577,0.0,0.0,0.024
189,5.536,5.609,0.0,0.0,-0.073
190,5.548,5.49,0.0,0.0,0.058
191,5.477,5.515,0.0,0.0,-0.038
192,5.458,5.369,0.0,0.0,0.089
193,5.426,5.344,0.0,0.0,0.082
194,5.345,5.297,0.0,0.0,0.048
195,5.3,5.263,0.0,0.0,0.037
196,5.2,5.215,0.0,0.0,-0.015
197,5.242,5.295,0.0,0.0,-0.053
198,5.257,5.293,0.0,0.0,-0.036
199,5.193,5.289,0.0,0.0,-0.096
200,5.37,5.264,0.0,0.0,0.106
201,5.249,5.319,0.0,0.0,-0.07
202,5.346,5.361,0.0,0.0,-0.015
203,5.38,5.298,0.0,0.0,0.082
204,5.28,5.155,0.0,0.0,0.125
205,5.13,5.206,0.0,0.0,-0.076
206,5.285,5.095,0.0,0.0,0.19
207,5.02,5.068,0.0,0.0,-0.048
208,5.077,4.965,0.0,0.0,0.112
209,4.985,5.106,0.0,0.0,-0.121
210,5.072,5.088,0.0,0.0,-0.016
211,5.168,5.133,0.0,0.0,0.035
212,5.2,4.972,0.0,0.0,0.228
213,5.016,4.885,1.0,0.0,0.131
214,4.895,5.032,1.0,0.0,-0.137
215,5.094,5.164,1.0,0.0,-0.07
216,5.166,5.207,1.0,0.0,-0.041
217,5.199,5.155,1.0,0.0,0.044
218,5.4,5.244,1.0,0.0,0.156
219,5.267,5.217,0.0,0.0,0.05
220,5.05,4.912,0.0,0.0,0.138
221,5.025,4.912,0.0,0.0,0.113
222,4.925,5.0,0.0,0.0,-0.075
223,4.974,4.972,0.0,0.0,0.002
224,4.993,4.977,0.0,0.0,0.016
225,5.003,4.911,0.0,0.0,0.092
226,4.921,4.91,0.0,0.0,0.011
227,4.9,4.852,0.0,0.0,0.048
228,4.88,4.938,0.0,0.0,-0.058
229,4.9,4.905,0.0,0.0,-0.005
230,4.923,4.915,0.0,0.0,0.008
231,4.961,5.085,0.0,0.0,-0.124
232,5.02,4.918,0.0,0.0,0.102
233,4.925,4.978,0.0,0.0,-0.053
234,5.03,4.99,0.0,0.0,0.04
235,5.003,5.018,0.0,0.0,-0.015
236,5.1,5.091,0.0,0.0,0.009
237,5.056,4.929,0.0,0.0,0.127
238,4.888,4.865,0.0,0.0,0.023
239,4.812,4.691,0.0,0.0,0.121
240,4.721,4.691,0.0,0.0,0.03
241,4.676,4.575,0.0,0.0,0.101
242,4.598,4.537,1.0,0.0,0.061
243,4.52,4.65,1.0,0.0,-0.13
244,4.707,4.737,1.0,0.0,-0.03
245,4.702,4.713,0.0,0.0,-0.011
246,4.705,4.706,0.0,0.0,-0.001
247,4.702,4.683,0.0,0.0,0.019
248,4.705,4.728,0.0,0.0,-0.023
249,4.65,4.654,0.0,0.0,-0.004
250,4.633,4.619,0.0,0.0,0.014
251,4.574,4.558,0.0,0.0,0.016
252,4.6,4.545,0.0,0.0,0.055
253,4.559,4.641,0.0,0.0,-0.082
254,4.635,4.636,0.0,0.0,-0.001
