,Open,Close,Up Trend,Down Trend
0,13.704,13.828,1,0
1,13.883,14.137,1,0
2,14.271,14.511,1,0
3,14.478,14.543,1,0
4,14.589,14.552,1,0
5,14.585,14.571,1,0
6,14.617,14.511,1,0
7,14.511,14.631,1,0
8,14.612,14.686,1,0
9,14.695,14.704,1,0
10,14.704,14.566,0,0
11,14.497,14.451,0,0
12,14.52,14.529,0,0
13,14.46,14.372,0,0
14,14.4,14.64,0,0
15,14.695,14.594,0,0
16,14.571,14.594,0,1
17,14.52,14.502,0,1
18,14.451,14.312,0,1
19,14.317,14.252,0,1
20,14.133,13.957,0,1
21,13.93,13.98,0,1
22,14.096,14.114,0,1
23,14.179,13.874,0,1
24,13.837,13.671,0,1
25,13.242,13.265,0,1
26,13.487,13.533,0,1
27,13.45,13.081,0,1
28,13.081,12.883,0,1
29,13.025,12.975,0,1
30,13.007,12.887,0,1
31,12.91,12.753,0,1
32,12.869,12.684,0,1
33,12.827,12.813,1,1
34,12.859,12.873,1,0
35,12.929,13.025,1,0
36,12.97,12.929,1,0
37,12.804,13.025,1,0
38,13.085,13.058,1,0
39,13.168,13.164,1,0
40,13.191,13.108,1,0
41,13.191,13.565,1,0
42,13.514,13.376,0,0
43,13.316,12.915,0,0
44,12.906,13.021,0,0
45,13.136,13.136,0,0
46,13.062,12.896,0,0
47,12.892,12.878,0,0
48,12.859,13.012,0,0
49,13.067,13.025,0,0
50,13.058,13.03,0,0
51,13.007,12.915,0,0
52,12.943,12.878,0,0
53,12.822,13.118,0,0
54,13.053,12.721,0,0
55,12.776,12.961,0,0
56,13.012,13.15,0,0
57,13.09,12.984,0,0
58,12.859,12.943,1,0
59,12.943,13.113,1,0
60,13.321,13.265,1,0
61,13.141,13.196,1,0
62,13.182,13.298,1,0
63,13.173,13.376,1,0
64,13.413,13.51,1,0
65,13.671,13.819,1,0
66,13.805,13.842,1,0
67,13.883,13.814,1,0
68,13.93,14.109,1,0
69,14.031,14.206,1,0
70,14.234,14.322,1,0
71,14.322,14.331,1,0
72,14.317,14.22,1,0
73,14.285,14.257,1,0
74,14.308,14.524,1,0
75,14.557,14.515,1,0
76,14.432,14.506,1,0
77,14.548,14.552,1,0
78,14.64,14.737,1,0
79,14.548,14.483,1,0
80,14.469,14.58,1,0
81,14.566,14.58,1,0
82,14.529,14.621,1,0
83,14.594,14.64,1,0
84,14.631,14.668,1,0
85,14.575,14.774,1,0
86,14.76,14.986,1,0
87,14.935,14.88,1,0
88,14.972,15.258,1,0
89,15.276,15.193,1,0
90,15.221,15.35,1,0
91,15.35,15.378,1,0
92,15.378,15.442,1,0
93,15.438,15.452,1,0
94,15.489,15.765,1,0
95,15.784,15.742,0,1
96,14.758,14.754,0,1
97,14.766,14.771,0,1
98,14.642,14.125,0,1
99,14.185,13.987,0,1
100,14.031,13.566,0,1
101,13.48,13.488,0,1
102,13.333,13.471,0,1
103,13.475,14.035,0,0
104,14.086,14.035,1,0
105,14.018,14.207,1,0
106,14.241,14.164,1,0
107,14.181,14.129,1,0
108,14.28,14.551,1,0
109,14.633,14.814,1,0
110,14.732,14.663,1,0
111,14.775,14.874,1,0
112,14.934,14.728,1,0
113,14.663,14.676,0,0
114,14.586,14.822,0,0
115,14.891,14.736,0,0
116,14.702,14.724,0,0
117,14.64,14.675,0,0
118,14.724,14.437,0,0
119,14.486,14.344,0,0
120,14.353,14.742,0,0
121,14.64,14.494,0,0
122,14.543,14.578,0,0
123,14.653,14.834,0,0
124,14.945,14.896,0,0
125,14.945,14.799,0,0
126,14.684,14.724,0,0
127,14.83,14.883,1,0
128,14.896,14.94,1,0
129,14.914,15.231,1,0
130,15.223,15.148,1,0
131,15.231,15.245,1,0
132,15.386,15.258,1,1
133,15.152,15.015,0,1
134,14.953,14.971,0,1
135,15.046,14.993,0,1
136,15.006,14.83,0,1
137,14.856,14.847,0,1
138,14.887,14.786,0,1
139,14.865,14.962,0,0
140,14.967,14.878,0,0
141,14.799,14.883,0,0
142,14.892,14.874,0,0
143,14.821,14.799,0,0
144,14.653,14.746,0,0
145,14.671,14.821,0,0
146,14.808,14.918,0,0
147,14.847,14.984,0,0
148,14.971,14.922,0,0
149,14.856,14.905,0,0
150,14.953,14.998,0,0
151,15.046,14.989,0,0
152,15.011,15.073,0,0
153,15.095,15.068,0,1
154,15.033,15.011,0,1
155,14.905,14.874,0,1
156,14.786,14.75,0,1
157,14.821,14.609,0,1
158,14.609,14.287,0,1
159,14.349,14.34,0,0
160,14.402,14.309,0,0
161,14.331,14.388,1,0
162,14.433,14.499,1,0
163,14.459,14.578,1,0
164,14.552,14.49,1,0
165,14.455,14.565,1,0
166,14.622,14.609,1,0
167,14.583,14.653,1,0
168,14.675,14.684,1,0
169,14.715,14.715,1,0
170,14.671,14.622,1,0
171,14.614,14.728,1,0
172,14.839,14.918,1,0
173,14.905,14.596,0,0
174,14.662,14.415,G,0
175,14.388,14.441,G,0
176,14.477,14.494,G,0
177,14.812,14.781,G,0
178,14.742,15.117,G,0
179,15.095,14.989,0,0
180,14.984,14.962,0,0
181,14.953,14.945,0,0
182,14.883,15.006,0,0
183,15.068,15.006,0,0
184,14.958,14.905,0,0
185,14.539,14.547,0,0
186,14.556,14.812,H,0
187,14.887,15.033,H,0
188,15.095,15.139,H,0
189,15.139,15.183,H,0
190,15.174,15.152,H,0
191,15.205,15.214,H,0
192,15.262,15.183,0,1
193,15.227,15.143,0,1
194,15.139,15.143,0,1
195,15.121,15.028,0,1
196,14.971,14.843,0,1
197,14.953,15.042,0,0
198,15.139,15.073,0,0
199,14.759,14.512,0,0
200,14.649,14.406,0,0
201,14.388,14.459,0,0
202,14.446,14.481,0,0
203,14.561,14.371,0,1
204,14.291,14.34,0,1
205,14.296,14.137,0,1
206,14.335,14.062,0,1
207,13.947,13.682,0,1
208,13.594,13.479,0,1
209,13.307,13.285,0,1
210,13.25,13.334,I,0
211,13.409,13.422,I,0
212,13.475,13.387,I,0
213,13.55,13.969,I,0
214,13.823,13.735,I,0
215,13.859,13.771,I,0
216,13.815,13.863,I,0
217,13.823,13.801,I,0
218,13.903,13.921,I,0
219,13.987,13.969,I,0
220,13.863,13.991,I,0
221,14.172,13.947,0,0
222,13.899,13.828,0,0
223,13.607,13.687,0,0
224,13.709,13.854,0,0
225,13.982,13.819,0,G
226,13.859,13.779,0,G
227,13.779,13.492,0,G
228,13.492,13.682,0,G
229,13.66,13.47,0,G
230,13.44,13.117,0,G
231,13.197,13.373,0,G
232,13.347,13.21,0,G
233,13.245,13.1,0,G
234,13.117,13.364,0,0
235,13.453,13.462,0,0
236,13.784,13.506,0,0
237,13.523,13.506,0,H
238,13.378,13.289,0,H
239,13.201,12.636,0,H
240,12.694,13.051,0,H
241,12.923,12.711,0,0
242,12.817,12.897,0,0
243,12.958,13.033,0,0
244,12.976,13.179,0,0
245,13.148,13.056,0,0
246,13.02,12.985,0,0
247,12.901,12.857,0,0
248,12.808,12.945,0,0
249,12.764,12.636,0,0
250,12.641,12.685,0,0
251,12.771,12.581,0,0
252,12.68,12.374,0,0
253,12.446,12.762,0,0
254,12.802,12.685,0,0
