,Open,Close,Up Trend,Down Trend,Difference
0,13.704,13.828,1,0,-0.124
1,13.883,14.137,1,0,-0.254
2,14.271,14.511,1,0,-0.24
3,14.478,14.543,1,0,-0.065
4,14.589,14.552,1,0,0.037
5,14.585,14.571,1,0,0.014
6,14.617,14.511,1,0,0.106
7,14.511,14.631,1,0,-0.12
8,14.612,14.686,1,0,-0.074
9,14.695,14.704,1,0,-0.009
10,14.704,14.566,0,0,0.138
11,14.497,14.451,0,0,0.046
12,14.52,14.529,0,0,-0.009
13,14.46,14.372,0,0,0.088
14,14.4,14.64,0,0,-0.24
15,14.695,14.594,0,0,0.101
16,14.571,14.594,0,1,-0.023
17,14.52,14.502,0,1,0.018
18,14.451,14.312,0,1,0.139
19,14.317,14.252,0,1,0.065
20,14.133,13.957,0,1,0.176
21,13.93,13.98,0,1,-0.05
22,14.096,14.114,0,1,-0.018
23,14.179,13.874,0,1,0.305
24,13.837,13.671,0,1,0.166
25,13.242,13.265,0,1,-0.023
26,13.487,13.533,0,1,-0.046
27,13.45,13.081,0,1,0.369
28,13.081,12.883,0,1,0.198
29,13.025,12.975,0,1,0.05
30,13.007,12.887,0,1,0.12
31,12.91,12.753,0,1,0.157
32,12.869,12.684,0,1,0.185
33,12.827,12.813,1,1,0.014
34,12.859,12.873,1,0,-0.014
35,12.929,13.025,1,0,-0.096
36,12.97,12.929,1,0,0.041
37,12.804,13.025,1,0,-0.221
38,13.085,13.058,1,0,0.027
39,13.168,13.164,1,0,0.004
40,13.191,13.108,1,0,0.083
41,13.191,13.565,1,0,-0.374
42,13.514,13.376,0,0,0.138
43,13.316,12.915,0,0,0.401
44,12.906,13.021,0,0,-0.115
45,13.136,13.136,0,0,0
46,13.062,12.896,0,0,0.166
47,12.892,12.878,0,0,0.014
48,12.859,13.012,0,0,-0.153
49,13.067,13.025,0,0,0.042
50,13.058,13.03,0,0,0.028
51,13.007,12.915,0,0,0.092
52,12.943,12.878,0,0,0.065
53,12.822,13.118,0,0,-0.296
54,13.053,12.721,0,0,0.332
55,12.776,12.961,0,0,-0.185
56,13.012,13.15,0,0,-0.138
57,13.09,12.984,0,0,0.106
58,12.859,12.943,1,0,-0.084
59,12.943,13.113,1,0,-0.17
60,13.321,13.265,1,0,0.056
61,13.141,13.196,1,0,-0.055
62,13.182,13.298,1,0,-0.116
63,13.173,13.376,1,0,-0.203
64,13.413,13.51,1,0,-0.097
65,13.671,13.819,1,0,-0.148
66,13.805,13.842,1,0,-0.037
67,13.883,13.814,1,0,0.069
68,13.93,14.109,1,0,-0.179
69,14.031,14.206,1,0,-0.175
70,14.234,14.322,1,0,-0.088
71,14.322,14.331,1,0,-0.009
72,14.317,14.22,1,0,0.097
73,14.285,14.257,1,0,0.028
74,14.308,14.524,1,0,-0.216
75,14.557,14.515,1,0,0.042
76,14.432,14.506,1,0,-0.074
77,14.548,14.552,1,0,-0.004
78,14.64,14.737,1,0,-0.097
79,14.548,14.483,1,0,0.065
80,14.469,14.58,1,0,-0.111
81,14.566,14.58,1,0,-0.014
82,14.529,14.621,1,0,-0.092
83,14.594,14.64,1,0,-0.046
84,14.631,14.668,1,0,-0.037
85,14.575,14.774,1,0,-0.199
86,14.76,14.986,1,0,-0.226
87,14.935,14.88,1,0,0.055
88,14.972,15.258,1,0,-0.286
89,15.276,15.193,1,0,0.083
90,15.221,15.35,1,0,-0.129
91,15.35,15.378,1,0,-0.028
92,15.378,15.442,1,0,-0.064
93,15.438,15.452,1,0,-0.014
94,15.489,15.765,1,0,-0.276
95,15.784,15.742,0,1,0.042
96,14.758,14.754,0,1,0.004
